,title,artist(s),album,added_at,album_type,release_date,total_tracks,disc_number,duration_ms,explicit,popularity,track_number,id,is_local
18,Two Dope Boyz (In a Cadillac),OutKast,album,2019-11-10T05:31:45Z,album,1996-08-27,15,1,162000,True,52,2,2q8lHMMso6wx6pb5uwqzOs,False
19,You May Die (Intro),OutKast,album,2019-11-10T05:31:44Z,album,1996-08-27,15,1,66133,False,42,1,5katW3JH8JM3jiEdrr2zuR,False
20,Chonkyfire,OutKast,album,2019-11-10T05:31:36Z,album,1998-09-29,16,1,371253,True,45,16,4mrR64jwacrmiZluhBelDB,False
21,Liberation (with Cee-Lo),OutKast,album,2019-11-10T05:31:35Z,album,1998-09-29,16,1,526373,True,51,15,1H6S9OkozTNvcASUX4Bfgb,False
22,"Y'All Scared (feat. T-Mo, Big Gipp & Khujo)",OutKast,album,2019-11-10T05:31:34Z,album,1998-09-29,16,1,290173,True,41,13,5LAgMMJQ42fF8yKLKF3Wiw,False
23,Nathaniel,OutKast,album,2019-11-10T05:31:34Z,album,1998-09-29,16,1,70280,True,38,14,6NqUceA124QO9v5jYv0QCg,False
24,Mamacita,OutKast,album,2019-11-10T05:31:33Z,album,1998-09-29,16,1,352506,True,42,11,32PWtlzKyvr3HcvJp1JFF5,False
25,SpottieOttieDopaliscious,OutKast,album,2019-11-10T05:31:33Z,album,1998-09-29,16,1,426853,True,62,12,4GdB5M7GbwLZLouktYocFC,False
26,Da Art of Storytellin' (Pt. 2),OutKast,album,2019-11-10T05:31:32Z,album,1998-09-29,16,1,172026,True,46,10,2vjgepbkQg5jH8ujrKEOin,False
27,West Savannah,OutKast,album,2019-11-10T05:31:31Z,album,1998-09-29,16,1,246280,True,46,8,5yTQ7Vy6EwKwB64Vho90LI,False
28,Da Art of Storytellin' (Pt. 1),OutKast,album,2019-11-10T05:31:31Z,album,1998-09-29,16,1,222653,True,55,9,1KQymTxNJfWk6vCD5ywKW2,False
29,Slump,OutKast,album,2019-11-10T05:31:30Z,album,1998-09-29,16,1,308733,True,46,7,4ufZSKCI84Pd2ZlWTJcu4i,False
30,Synthesizer (feat. George Clinton),OutKast,album,2019-11-10T05:31:29Z,album,1998-09-29,16,1,311653,True,45,6,3sQDstyMhCcDJ3mY6onZez,False
31,Skew It on the Bar-B,OutKast,album,2019-11-10T05:31:26Z,album,1998-09-29,16,1,195106,True,50,4,6EQ4orawx8eo0aXH0pOKLE,False
32,Aquemini,OutKast,album,2019-11-10T05:31:26Z,album,1998-09-29,16,1,319240,True,58,5,4V3N5LvUOh3yDPP16cwAhE,False
33,"Return of the ""G""",OutKast,album,2019-11-10T05:31:25Z,album,1998-09-29,16,1,289160,True,48,2,1wYp8ISMvX8qrflPrBU9Yo,False
34,Rosa Parks,OutKast,album,2019-11-10T05:31:25Z,album,1998-09-29,16,1,324373,True,65,3,0shK5iZQppbHPQYiy60xs9,False
35,"Hold On, Be Strong",OutKast,album,2019-11-10T05:31:23Z,album,1998-09-29,16,1,72586,True,43,1,7g8S0N45Tkp7yE1WEWRwyu,False
36,Stankonia (Stanklove) (feat. Big Rube & Sleepy Brown),OutKast,album,2019-11-10T05:31:08Z,album,2000-10-31,24,1,411026,True,37,24,3hZnqmixPzXNrxjsaPlwHZ,False
37,Slum Beautiful (feat. Cee-Lo),OutKast,album,2019-11-10T05:31:07Z,album,2000-10-31,24,1,247560,True,38,22,4hH99pmXR4tTUtVAdMf0kZ,False
38,Pre-Nump (Interlude),OutKast,album,2019-11-10T05:31:07Z,album,2000-10-31,24,1,27066,True,1,23,6emmntELhK3aLuMzGk9Bpa,False
39,Toilet Tisha,OutKast,album,2019-11-10T05:31:06Z,album,2000-10-31,24,1,264706,True,37,21,4Dlz76O4yMvFdYsKRfBEdK,False
40,"Gangsta Sh*t (feat. Slimm Calhoun, C-Bone & T-Mo)",OutKast,album,2019-11-10T05:31:05Z,album,2000-10-31,24,1,281266,True,40,20,2fk55YQGYhilLmXFaKWESM,False
41,Red Velvet,OutKast,album,2019-11-10T05:31:04Z,album,2000-10-31,24,1,232640,True,40,18,5AnpPlwvf01F9D1gcAbCRa,False
42,Cruisin' In The ATL (Interlude),Southside,album,2019-11-10T05:31:04Z,album,2000-10-31,24,1,19293,True,2,19,4zTqkKfNC3rDQ0uuAGOvie,False
43,?,OutKast,album,2019-11-10T05:31:03Z,album,2000-10-31,24,1,88626,True,38,17,67tv8s6iNlSwz2RxVPcoY5,False
44,Humble Mumble (with Erykah Badu),OutKast,album,2019-11-10T05:31:02Z,album,2000-10-31,24,1,290666,True,47,15,5cN4KyXGUdNOve1TEPWmhL,False
45,Drinkin' Again (Interlude),OutKast,album,2019-11-10T05:31:02Z,album,2000-10-31,24,1,24506,True,2,16,1ZoK9LKJppVYpc5b1QtpD8,False
46,We Luv Deez Hoez (feat. Backbone & Big Gipp),OutKast,album,2019-11-10T05:31:01Z,album,2000-10-31,24,1,250466,True,46,14,4XaY6ZNB5BrmVVLtQxjWpm,False
47,Xplosion (with B-Real),OutKast,album,2019-11-10T05:31:00Z,album,2000-10-31,24,1,248840,True,41,12,54MqZEYfS0aRgNWW19hNW4,False
48,Good Hair (Interlude),OutKast,album,2019-11-10T05:31:00Z,album,2000-10-31,24,1,14960,True,0,13,0a7EuQ73Wc6bPQApzjWPwz,False
49,B.O.B.,OutKast,album,2019-11-10T05:30:59Z,album,2000-10-31,24,1,304226,True,62,11,3WibbMr6canxRJXhNtAvLU,False
50,I'll Call B4 I Cum (with Gangsta Boo & Eco),OutKast,album,2019-11-10T05:30:58Z,album,2000-10-31,24,1,258440,True,40,10,6F1nkRSfNUh3FcoSmuO4fu,False
51,Kim & Cookie (Interlude),OutKast,album,2019-11-10T05:30:56Z,album,2000-10-31,24,1,72533,True,38,9,51QLvM437Xstp0bLdq0aFj,False
52,Spaghetti Junction,OutKast,album,2019-11-10T05:30:54Z,album,2000-10-31,24,1,237160,True,44,8,1ZosUXeZM3qlTWdL1uTrhm,False
53,Snappin' & Trappin' (with Killer Mike & J-Sweet),OutKast,album,2019-11-10T05:30:53Z,album,2000-10-31,24,1,259693,True,42,6,6C872iuQnICFQy5Z5hIIJX,False
54,D.F. (Interlude),OutKast,album,2019-11-10T05:30:53Z,album,2000-10-31,24,1,27240,True,3,7,1Y1ZV5NJWTkp7M0r4lwdnM,False
55,Ms. Jackson,OutKast,album,2019-11-10T05:30:52Z,album,2000-10-31,24,1,270506,True,79,5,0I3q5fE6wg7LIfHGngUTnV,False
56,"So Fresh, So Clean",OutKast,album,2019-11-10T05:30:51Z,album,2000-10-31,24,1,240026,True,67,4,6glsMWIMIxQ4BedzLqGVi4,False
57,I'm Cool (Interlude),OutKast,album,2019-11-10T05:30:50Z,album,2000-10-31,24,1,42040,True,38,3,3R4IgnYTITZGpGfCZ3ptkM,False
58,Intro,OutKast,album,2019-11-10T05:30:49Z,album,2000-10-31,24,1,69720,True,38,1,7LkwNlnMYYGOCqW1igUgqR,False
59,Gasoline Dreams (with Khujo Goodie),OutKast,album,2019-11-10T05:30:49Z,album,2000-10-31,24,1,214706,True,47,2,1Jo3u8eXp8xobbrvq0FIi9,False
60,A Life In The Day of Benjamin Andre (Incomplete),OutKast,album,2019-11-10T05:30:42Z,album,2003,40,2,290120,False,38,21,6YZ5KxfrGopg7r3aqjKio7,False
61,Vibrate,OutKast,album,2019-11-10T05:30:41Z,album,2003,40,2,398906,True,39,20,6eGRWLRQtT7pX6iXPpFiYk,False
62,My Favorite Things,OutKast,album,2019-11-10T05:30:40Z,album,2003,40,2,312133,False,37,18,2JIDQilIIxsxwZaS5xz8Av,False
63,Take Off Your Cool (feat. Norah Jones),OutKast,album,2019-11-10T05:30:40Z,album,2003,40,2,158093,False,48,19,2faSzprTWJ7L1EkZNko4ww,False
64,The Letter,OutKast,album,2019-11-10T05:30:39Z,album,2003,40,2,20973,False,1,17,0RBlLGGoMx0AxCsO4XyjGa,False
65,Dracula's Wedding (feat. Kelis),OutKast,album,2019-11-10T05:30:38Z,album,2003,40,2,152413,False,58,16,2EFHXO4zJRitZLpE1ztsWO,False
66,Love In War,OutKast,album,2019-11-10T05:30:37Z,album,2003,40,2,205720,False,36,14,3FI3voJxfJTE0fIynRIrCB,False
67,She's Alive,OutKast,album,2019-11-10T05:30:37Z,album,2003,40,2,246920,False,37,15,0ve4aPQNF5avvi2qfFLYrs,False
